ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LV,LAC,LAR,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SF,SEA,TB,TEN,WAS
,,9,8,,,,,2,,4,,6,10,,1,,,,7,,,,,,5,,3,,,,
,,,4,,,,10,,,,8,3,,,1,,7,,,6,,2,,,9,,,,5,,
,10,,2,,,,,,,4,7,,,,3,,,,,1,,,,9,5,8,,6,,,
,10,5,6,,,,,,,2,,9,,,3,,,,,1,,,,,,,4,8,7,,
,6,5,,,,,,10,,3,9,2,,,2,,,,,1,,,,,,,,7,8,,4
,8,4,9,,,,,,,1,7,3,,,2,,,,,6,,,,,,,5,,10,,
,,3,6,,,,,,,1,4,7,,,2,,,,,5,,,,,,9,,10,,,8
,,9,3,,,,,,10,1,5,6,,,2,,,,,,,,,,4,7,,,,,8
,8,3,4,,,,,,,1,10,,,,2,,9,,,7,,,,,5,,,,,,6
,,3,4,,,,,,,1,,10,,,2,,9,,,8,,,,,5,6,7,,,,
,,6,2,,,,,,,1,10,8,,,3,,7,,,9,,,,,5,4,,,,,
,,5,4,,,,,,10,1,6,,,,3,,9,,,8,,,,,2,7,,,,,
,,7,3,,,,,,10,1,6,,,,4,,8,,,9,,,,,2,5,,,,,
,,7,3,,,,,,,1,9,,,,4,,,10,,5,,,,,2,6,8,,,,
,,7,1,,,,,,,3,6,,,,4,,,9,,5,,,,,2,8,,,10,,
,,7,1,,,,,,,2,6,,,,4,,,8,,3,,,,,5,10,,,,,9
,,3,5,,,,,,,1,8,,,,4,,10,,,2,,,,,6,,,,9,,7
,,5,3,,,,,,,1,9,,,,2,,,,,6,,,,,4,,,,7,,8
