ARI,ATL,BAL,BUF,DAL,DEN,DET,GB,HOU,IND,KC,LAC,LAR,MIN,NO,PHI,PIT,SF,SEA,TB,WAS
16.0,16.0,3.0,9,6.0,16.0,4,16.0,5.0,10.0,1,16.0,16.0,16.0,16.0,7.0,16.0,2.0,16.0,8.0,16.0
9.0,16.0,16.0,2,16.0,16.0,7,16.0,3.0,16.0,1,8.0,16.0,10.0,4.0,16.0,16.0,5.0,16.0,6.0,16.0
16.0,16.0,16.0,2,16.0,16.0,8,16.0,9.0,16.0,1,16.0,16.0,3.0,7.0,6.0,5.0,4.0,10.0,16.0,16.0
16.0,9.0,4.0,5,16.0,16.0,6,16.0,10.0,16.0,1,16.0,16.0,2.0,16.0,16.0,16.0,3.0,16.0,8.0,7.0
16.0,7.0,4.0,9,16.0,16.0,3,16.0,5.0,16.0,1,16.0,16.0,2.0,16.0,16.0,16.0,10.0,16.0,8.0,6.0
16.0,16.0,4.0,9,16.0,16.0,3,10.0,5.0,16.0,1,16.0,16.0,2.0,16.0,16.0,16.0,6.0,16.0,7.0,8.0
16.0,16.0,2.0,6,16.0,16.0,3,7.0,5.0,16.0,1,16.0,16.0,4.0,16.0,10.0,9.0,16.0,16.0,16.0,8.0
16.0,16.0,3.0,4,16.0,16.0,2,8.0,9.0,16.0,1,16.0,16.0,6.0,16.0,16.0,7.0,10.0,16.0,16.0,5.0
16.0,16.0,3.0,4,16.0,16.0,2,16.0,16.0,16.0,1,16.0,9.0,6.0,16.0,7.0,8.0,10.0,16.0,16.0,5.0
16.0,16.0,3.0,4,16.0,16.0,2,16.0,16.0,16.0,1,8.0,16.0,9.0,16.0,7.0,5.0,10.0,16.0,16.0,6.0
16.0,16.0,5.0,6,16.0,10.0,1,16.0,16.0,16.0,2,7.0,16.0,9.0,16.0,3.0,4.0,16.0,16.0,16.0,8.0
16.0,16.0,5.0,6,16.0,9.0,1,8.0,16.0,16.0,2,16.0,16.0,7.0,16.0,3.0,4.0,16.0,16.0,10.0,16.0
16.0,16.0,6.0,4,16.0,16.0,1,8.0,16.0,16.0,2,10.0,16.0,7.0,16.0,3.0,5.0,16.0,16.0,16.0,9.0
16.0,16.0,6.0,5,16.0,16.0,1,8.0,16.0,16.0,2,16.0,9.0,7.0,16.0,3.0,4.0,16.0,10.0,16.0,16.0
16.0,16.0,8.0,3,16.0,10.0,4,7.0,16.0,16.0,1,16.0,16.0,6.0,16.0,2.0,5.0,16.0,16.0,9.0,16.0
16.0,16.0,6.0,4,16.0,16.0,3,7.0,16.0,16.0,1,16.0,10.0,2.0,16.0,5.0,8.0,16.0,16.0,16.0,9.0
16.0,16.0,6.0,3,16.0,16.0,4,7.0,16.0,16.0,1,9.0,16.0,2.0,16.0,5.0,16.0,16.0,16.0,10.0,8.0
16.0,16.0,4.0,3,16.0,16.0,1,8.0,16.0,16.0,2,6.0,10.0,7.0,16.0,5.0,16.0,16.0,16.0,7.0,9.0
